YEAR,STATE,SWING_LAST,PREV_WIN_DEM,POPULATION,MAIL_BALLOTS_REQUESTED,ALL_MAIL_STATE,BIRTHS,POVERTY_RATE,DOM_MIG_RATE,FERTILITY_RATE,DEATHS,DEATH_RATE,MENTAL_HEALTH,VAX_PERCENT_POP,VAX_18PLUS,VAX_65PLUS,PFIZER,MODERNA,PFIZER_LESS_MODERNA,TURNOUT,REP_VOTES,DEM_VOTES,DEM_VOTE_PERCENT,REP_VOTE_PERCENT,MARGIN_DEM
2021,OR,0,1,4217749,2949687,1,41858,8.1,3.02581577,50.6,36187,863.5,37.33,66.5,76.3,89.2,1747323,1030640,716683,2298831,958448,1340383,56.45331865,40.36724605,16.09
2021,PA,1,0,12802027,3088123,0,134230,8.7,2.922209008,56.3,134702,1051.8,32.3,63.9,74.1,91,5241387,3339802,1901585,6835903,3377674,3458229,50.00849568,48.84361204,1.16
2021,RI,0,1,1059363,175273,0,10175,9.2,1.310213281,48.8,10083,953.6,30.75,76.5,85.9,95,551950,309626,242324,507408,199922,307486,59.38809132,38.61309456,20.77
2021,SC,0,0,5148703,1347886,0,57038,15.1,13.82839568,58,50640,996,30.83,53.1,63.1,85.1,1760849,1096242,664607,2476644,1385103,1091541,43.43008814,55.11029396,-11.68
2021,SD,0,0,884658,134894,0,11449,10.6,7.988113114,70.6,7971,903.5,25.9,57.1,69.4,91.6,332478,210127,122351,411514,261043,150471,35.60525214,61.76938967,-26.16
2021,TN,0,0,6829178,210408,0,80450,13.1,6.962663249,60.3,71078,1049.9,32.84,51.4,61.7,82.7,2217981,1359009,858972,2996186,1852475,1143711,37.45,60.66029417,-23.21
2021,TX,0,0,28995783,973143,0,377599,11.1,7.997802967,62.5,202211,704.5,36.6,57,69.1,84.3,10689575,6219445,4470130,11149473,5890347,5259126,46.47900991,52.0576036,-5.58
2021,UT,0,0,3205967,1640707,1,46826,7.3,9.577752124,66.7,18354,580.6,32.19,58.8,73,90.3,1267349,686390,580959,1425422,865140,560282,37.64604858,58.12983903,-20.48
2021,VA,0,1,8535543,1128949,0,97429,8.8,1.020900179,57.8,69359,814.3,31.27,68,78,89.9,3916970,2112083,1804887,4375998,1962430,2413568,54.10951718,43.99550367,10.11
2021,VT,0,1,623990,452266,1,5361,8.6,8.150204375,46.8,6027,962.3,29.84,77.4,84.9,95,292835,188984,103851,355524,112704,242820,66.08641693,30.67376466,35.41
2021,WA,0,0,7614912,4877969,1,84895,7,-0.183887248,56,56877,754.8,34.82,67.9,78.9,91.6,3306331,1978469,1327862,3954263,1584651,2369612,57.97030114,38.76697774,19.2
2021,WI,1,0,5822427,1421908,0,63270,8.4,-2.734387405,58.1,53684,923.4,27.7,62,72.5,93.5,2259460,1383256,876204,3241050,1610184,1630866,49.44953686,48.82243732,0.63
2021,WV,0,0,1792145,153635,0,18136,13.9,2.015762085,57.6,23478,1300.1,32.97,55.1,64.5,82.8,566136,437767,128369,781366,545382,235984,29.69510123,68.62827014,-38.93
2021,WY,0,0,578759,140934,0,6565,9.2,3.280297819,60.8,5070,877.6,28.34,47.5,57.8,82.1,154151,124385,29766,267050,193559,73491,26.55357433,69.94,-43.39
2022,AL,0,0,4903173,318706,0,58054,15.9,6.486977893,59.5,68889,1366.9,36.12,39.5,41.4,62.7,516544,493083,23461,1378900,942154,436746,30.88207218,66.62,-35.74
2022,AR,0,0,3017801,21247,0,35965,16.8,12.58271952,61.7,40070,1324.2,37.2,44.2,46.9,69.9,389866,355080,34786,872624,592437,280187,31.08677852,65.73095042,-34.64
2022,AZ,1,1,7278736,3082914,0,77916,12.6,7.261417448,55.5,81442,1119.3,33.55,49.5,52.7,71.8,1340431,999800,340631,2518335,1196308,1322027,51.39486388,46.50743655,4.89
2022,CA,0,1,39512180,21955305,0,420608,11.9,-5.276362898,52.8,333249,849.3,34.06,58.4,62.3,81.2,9863949,7053672,2810277,10843641,4222025,6621616,61.06450776,38.93549224,22.13
2022,CO,0,1,5758728,3806454,1,62949,7.9,2.949547463,52.5,48281,830.7,31.84,57.2,60.3,80.7,1377439,1007064,370375,2428863,1031693,1397170,55.88389404,41.26557419,14.62
2022,CT,0,1,3565279,160102,0,35670,8,1.519883057,52.1,34333,952.2,31.1,55.2,58.8,76.2,893519,716559,176960,1237118,535943,701175,55.6538007,42.53897373,13.11
2022,FL,0,0,21477694,4336284,0,216260,12.6,19.92711309,54.9,261369,1200,32.84,43.6,45.9,65.9,3649077,2706712,942365,7676369,4474847,3201522,41.26728825,57.68031612,-16.41
2022,GA,1,1,10617464,271434,0,124073,14,9.916264793,55.9,112272,1039.6,32.66,43.7,46.1,67.1,1480968,1136342,344626,3854559,1908442,1946117,49.4449842,48.48777568,0.96
2022,HI,0,1,1415872,549935,1,15620,10.9,-6.75434074,59.2,12816,889,29.95,59.2,63,84.5,390278,284302,105976,397252,106358,290894,71.21,26.03514664,45.17
2022,IA,0,0,3155080,359734,0,36835,9.7,15.80056682,60.8,34215,1071.5,29.87,57.1,60.3,82.2,640479,500778,139701,1214831,681501,533330,43.83608708,56.01473231,-12.18
2022,ID,0,0,1787059,144313,0,22427,9.3,-8.798293315,60.7,18346,965.1,31,48.3,50.8,72.6,278422,200374,78048,528347,358539,169808,28.73766691,60.67779113,-31.94
2022,IL,0,1,12671858,875479,0,132189,10.7,3.002475731,53,125048,986.8,31.62,56.6,60.4,82.2,3056575,1978537,1078038,4030191,1701055,2329136,56.82349589,41.50032106,15.32
2022,IN,0,0,6732244,168658,0,79946,10.4,0.426720053,60.2,78317,1150.7,33.66,50.6,53.3,74.9,1190983,744813,446170,1794870,1090390,704480,37.87213317,58.61826494,-20.75
2022,KS,0,0,2913308,155119,0,34705,7.1,-0.505901446,61,32029,1091.4,32.15,48.7,51.6,72.8,531498,378265,153233,975190,602976,372214,37.03784046,60.00023882,-22.96
2022,KY,0,0,4467680,290400,0,52214,16.2,3.068133928,60.8,60303,1337.3,37.52,48.2,50.7,72.3,693012,560182,132830,1477637,913326,564311,38.18510925,61.80183106,-23.62
2022,MD,0,1,6045669,639189,0,68285,7.7,-3.598014949,56.4,58117,942.7,30.33,56.3,59.9,80,1596467,1067510,528957,1999190,682293,1316897,65.76803294,34.07485057,31.69
2022,MO,0,0,6137448,398934,0,69453,12.3,2.38767802,58.4,73847,1197.2,33.53,47.2,49.6,71,1009344,674682,334662,2019660,1146966,872694,42.17685694,55.43228313,-13.26
2022,NC,0,0,10488052,261422,0,120466,11.8,9.710544804,58.1,118093,1119.2,31.49,31.6,33.1,45.9,1267709,911148,356561,3689835,1905786,1784049,47.27305054,50.49879118,-3.23
2022,ND,0,0,762061,76044,0,10112,8.5,10.01400683,66.7,7266,937.6,30.49,48.3,50.4,73.9,127250,85069,42181,195469,135474,59995,24.98334305,56.41459149,-31.43
2022,NH,0,1,1359711,516699,0,12625,6.9,-11.18485794,49.9,14198,1022.2,31.16,54.4,56.8,73.3,314044,207007,107037,608121,275928,332193,53.49539031,44.43463908,9.06
2022,NV,0,1,3080160,1819181,1,33686,12.8,11.73001164,54.8,32923,1047.2,36.19,43.5,46,68.3,504094,333991,170103,988704,490388,498316,48.81383161,48.03722388,0.78
2022,NY,0,1,19453538,557052,0,210742,12.5,-1.884521361,54.1,181360,914.3,32.16,48.7,51.6,71,4373095,3123773,1249322,5227321,2204499,3022822,51.64827148,37.66631407,13.98
2022,OH,0,0,11689102,1000669,0,129791,11.6,1.604681061,57.9,147635,1253.3,32.13,56.3,59.2,79.7,2287775,1619321,668454,4131603,2192114,1939489,46.92,53.03490493,-6.11
2022,OK,0,0,3956971,99589,0,48410,15.1,7.980871075,61.5,50945,1277.9,38.3,41.4,43.8,66.3,536720,435118,101602,1112680,725301,387379,34.81,65.19,-30.38
2022,OR,0,1,4217749,2996544,1,40914,9.2,-2.434366733,48.9,44989,1059.5,34.79,58.4,60.9,80.1,1031333,717993,313340,1865415,788991,1076424,55.83259723,40.92385224,14.91
2022,PA,1,1,12802027,1436788,0,132622,10.8,-1.078285157,54.7,155390,1198.6,33.49,47,49.4,68.3,2480159,1844008,636151,5238272,2487260,2751012,51.24816017,46.33,4.92
2022,SC,0,0,5148703,64666,0,57185,13.7,17.91920684,57.5,65422,1260.4,31.69,44.4,46.9,68.5,762570,578644,183926,1693890,1066274,627616,37.01216369,62.88097791,-25.87
2022,SD,0,0,884658,87067,0,11369,8.4,12.35211785,68.6,9185,1025.8,28.39,46.3,49,67.7,151680,115639,36041,333323,242316,91007,26.14993391,69.63,-43.48
2022,VT,0,1,623990,430892,1,5384,7.5,3.299327849,44.9,6877,1065.3,29.46,66.1,69.2,85.2,204048,143073,60975,277043,80468,196575,68.4691745,28.02786486,40.44
2022,WA,0,1,7614912,4798057,1,83911,7.7,4.203296296,54.2,68689,887.6,32.23,57.8,60.7,81,1932960,1360084,572876,3041149,1299322,1741827,57.14843007,42.63007317,14.52
2022,WI,1,1,5822427,812950,0,61781,9.3,2.599375168,55.7,60973,1034.2,29.11,60.4,63.7,83.7,1407239,954342,452897,2647652,1337185,1310467,49.40540483,50.41268972,-1.01
